"canonical_entity","mention_count","mention_rate","average_ranking_position","rank_variance","top1_rate","mention_prominence","frequency_across_runs","stability_score","consistency_label","avg_description_length","model_presence_count","cross_model_rate","prompt_type_response","co_mention_rate"
"la villa bleue","22","0.0563","2.5909","1.2306","0.2273","0.7727","5","0.0252","unstable","56.7","2","0.6667","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0, ""localisation"": 0.1791, ""occasion_speciale"": 0.0545, ""comparatif"": 0.0299, ""avis_touristes"": 0.0656}","{""dar el jedid"": 0.0455, ""la kasbah"": 0.1364, ""le grand bleu"": 0.1364, ""la maison arabe"": 0.1818, ""le café des nattes"": 0.1364, ""la maison de la méditerranée"": 0.1364, ""le grand café de la marsa"": 0.0909, ""le bistrot de la marsa"": 0.1818, ""le restaurant de la plage"": 0.0455, ""le bistro du coin"": 0.0455, ""le petit château"": 0.0909, ""le café de la plage"": 0.1364, ""la table de la méditerranée"": 0.0455, ""le golfe"": 0.0909, ""le restaurant le corail"": 0.0909, ""dar el jeld"": 0.1818, ""la maison de la mer"": 0.0909, ""la table de la marsa"": 0.0455, ""café des nattes"": 0.2273, ""dar el fell"": 0.2273, ""dar zarrouk"": 0.2273, ""le pirate"": 0.2727, ""café sidi chabaane"": 0.1818, ""la maison blanche"": 0.1364, ""la villa des orangers"": 0.0455, ""la maison bleue"": 0.0455, ""la maison des arts"": 0.0455, ""le grand café de la gare"": 0.0455, ""le restaurant de la médina"": 0.0455, ""la table d'or"": 0.0455, ""le restaurant de la medina"": 0.0909, ""le restaurant de la kasbah"": 0.0455, ""le grand vefour"": 0.0909, ""le restaurant du port"": 0.0455, ""le bistrot"": 0.0455, ""le carthage"": 0.0455, ""zitouna café"": 0.0455, ""le bistrot du port"": 0.0455, ""le belvédère"": 0.0455, ""la plage"": 0.0455, ""le jardin"": 0.0455, ""el farouk"": 0.0455}"
"el mouradi","27","0.0691","3.5385","1.7809","0.1481","0.5185","5","0.0248","unstable","520.6","3","1.0","{""top_recommendation"": 0.1143, ""cuisine_authentique"": 0.0563, ""localisation"": 0.1045, ""occasion_speciale"": 0.0, ""comparatif"": 0.0896, ""avis_touristes"": 0.0328}","{""le dinar"": 0.0741, ""le carthage"": 0.037, ""la maison de la tradition"": 0.037, ""la tonnelle"": 0.1111, ""dar el jeld"": 0.4444, ""le brik"": 0.0741, ""le jardin de carthage"": 0.1852, ""dar zaytouna"": 0.0741, ""la maison des saveurs"": 0.1481, ""la maison blanche"": 0.037, ""la kasbah"": 0.2222, ""chez ali"": 0.2222, ""dar el-andalous"": 0.0741, ""la perle"": 0.037, ""la medina"": 0.0741, ""el fell"": 0.037, ""le port"": 0.0741, ""le café de la plage"": 0.037, ""dar el jaziri"": 0.037, ""la maison arabe"": 0.0741, ""le grand vefour"": 0.0741, ""la maison de la couscous"": 0.0741, ""le jardin des sens"": 0.0741, ""dar essafra"": 0.0741, ""le jardin de sousse"": 0.037, ""café des nattes"": 0.0741, ""la marine"": 0.037, ""le pirate"": 0.037, ""café des arts"": 0.0741, ""el hana"": 0.037, ""le jardin de la medina"": 0.037, ""le jardin"": 0.037, ""la fontaine"": 0.037, ""café de la poste"": 0.037, ""le jardin de sidi bou said"": 0.037, ""le bosphore"": 0.0741, ""le souk"": 0.037, ""dar jilani"": 0.037, ""le jardin de l'orangerie"": 0.037, ""zitouna"": 0.037, ""dar jdid"": 0.037, ""chez mokhtar"": 0.037, ""la terrasse"": 0.037, ""dar el fell"": 0.037, ""dar kalthoum"": 0.037, ""sousse restaurant"": 0.037, ""le chantier"": 0.037, ""café de france"": 0.037, ""café des négociants"": 0.037, ""le bistrot du port"": 0.037}"
"el ali","9","0.023","5.0","0.0","0.0","0.0","4","0.023","unstable","111.4","1","0.3333","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0563, ""localisation"": 0.0149, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0164}","{""la mamma"": 0.1111, ""dar el jeld"": 0.8889, ""le grand vefour"": 0.7778, ""la maison arabe"": 0.2222, ""le couscous de la medina"": 0.1111, ""le restaurant de la kasbah"": 0.1111, ""la brikerie"": 0.1111, ""le café des nattes"": 0.1111, ""café des nattes"": 0.1111, ""la maison de la medina"": 0.1111, ""le café de la kasbah"": 0.1111, ""dar slah"": 0.1111, ""le bardo"": 0.1111, ""le rest'o"": 0.2222, ""la maison blanche"": 0.1111}"
"la maison de la medina","15","0.0384","2.625","0.696","0.0","0.4667","5","0.0226","unstable","161.0","2","0.6667","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0, ""localisation"": 0.0746, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0149, ""avis_touristes"": 0.0984}","{""dar el jeld"": 0.4, ""le grand vefour"": 0.1333, ""le grand café"": 0.0667, ""le café de la place"": 0.0667, ""le café des nattes"": 0.2, ""el ali"": 0.0667, ""le café de la kasbah"": 0.0667, ""dar slah"": 0.1333, ""le bardo"": 0.0667, ""le cafe des nattes"": 0.0667, ""dar zarrouk"": 0.0667, ""café de paris"": 0.0667, ""dar belhadj"": 0.0667, ""la mammounia"": 0.0667, ""café des arts"": 0.0667, ""chez ali"": 0.0667, ""le calypso"": 0.2, ""le sindbad"": 0.0667, ""le restaurant el ali"": 0.0667, ""le grand café de tunis"": 0.0667, ""le grand cafe"": 0.0667, ""la kasbah"": 0.0667, ""le restaurant de la plage"": 0.0667, ""le pirate"": 0.2, ""la terrasse du port"": 0.0667, ""le jardin"": 0.0667, ""café des nattes"": 0.0667, ""le grand bleu"": 0.0667, ""le calife"": 0.0667, ""dar el fell"": 0.0667, ""le petit prince"": 0.0667, ""la terrasse"": 0.0667, ""le petit château"": 0.0667, ""dar el jaziri"": 0.0667}"
"la maison blanche","20","0.0512","3.1","1.6703","0.05","0.7","5","0.0192","unstable","74.6","2","0.6667","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0896, ""occasion_speciale"": 0.1091, ""comparatif"": 0.0448, ""avis_touristes"": 0.0328}","{""la medina"": 0.1, ""dar el jeld"": 0.6, ""el farouk"": 0.1, ""la kasbah"": 0.3, ""el mouradi"": 0.05, ""el farah"": 0.1, ""le petit châtelet"": 0.1, ""le bistrot"": 0.05, ""la grotte"": 0.1, ""la maison de la médina"": 0.05, ""le relais"": 0.1, ""la terrasse"": 0.1, ""le pirate"": 0.3, ""le calypso"": 0.05, ""café de paris"": 0.05, ""la villa"": 0.05, ""le café de la médina"": 0.05, ""dar slah"": 0.05, ""le souk"": 0.05, ""le pacha"": 0.05, ""le grand vefour"": 0.15, ""dar zarrouk"": 0.15, ""café des nattes"": 0.15, ""la villa bleue"": 0.15, ""dar el fell"": 0.1, ""café sidi chabaane"": 0.1, ""pâtisserie el hana"": 0.05, ""le café des nattes"": 0.1, ""le zitouna"": 0.05, ""le bardo"": 0.05, ""le corail"": 0.05, ""le sultan"": 0.05, ""le restaurant de la medina"": 0.05, ""le restaurant de la kasbah"": 0.05, ""le restaurant du port"": 0.05, ""dar baaziz"": 0.05, ""le belvedere"": 0.05, ""le rest'o"": 0.05, ""el ali"": 0.05, ""la casa"": 0.05, ""le corsaire"": 0.05, ""le golfe"": 0.05}"
"café des nattes","23","0.0588","3.5455","2.1475","0.087","0.6087","5","0.0187","unstable","130.5","3","1.0","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0563, ""localisation"": 0.1642, ""occasion_speciale"": 0.0, ""comparatif"": 0.0299, ""avis_touristes"": 0.0656}","{""le belvédère"": 0.0435, ""dar el jeld"": 0.4348, ""le jardin de sousse"": 0.0435, ""la kasbah"": 0.1739, ""le central"": 0.0435, ""la maison du brik"": 0.0435, ""le grand vefour"": 0.1304, ""le café de la paix"": 0.0435, ""el ali"": 0.0435, ""la marine"": 0.0435, ""el mouradi"": 0.087, ""le pirate"": 0.3043, ""café des arts"": 0.1739, ""la table de sousse"": 0.0435, ""le bistrot du port"": 0.0435, ""le jardin de carthage"": 0.0435, ""la perle"": 0.0435, ""la villa bleue"": 0.2174, ""le petit château"": 0.0435, ""dar el fell"": 0.2174, ""dar zarrouk"": 0.2174, ""le golfe"": 0.0435, ""la maison de la méditerranée"": 0.087, ""café sidi chabaane"": 0.1739, ""le grand bleu"": 0.0435, ""la maison blanche"": 0.1304, ""le comptoir"": 0.0435, ""café de la medina"": 0.087, ""le patio"": 0.0435, ""la maison arabe"": 0.0435, ""pâtisserie el hana"": 0.087, ""la ghriba"": 0.0435, ""la belle époque"": 0.0435, ""le bistrot de la mer"": 0.0435, ""le calypso"": 0.0435, ""dar baaziz"": 0.0435, ""la villa"": 0.0435, ""le souk"": 0.0435, ""le jardin des oliviers"": 0.0435, ""café de la poste"": 0.0435, ""la maison des saveurs"": 0.0435, ""dar jilani"": 0.0435, ""la terrasse du port"": 0.0435, ""le jardin"": 0.0435, ""la maison de la medina"": 0.0435, ""le jardin de la medina"": 0.0435}"
"le jardin de carthage","19","0.0486","2.8947","1.8323","0.2632","0.6842","5","0.0172","unstable","713.6","1","0.3333","{""top_recommendation"": 0.0429, ""cuisine_authentique"": 0.0282, ""localisation"": 0.0597, ""occasion_speciale"": 0.0909, ""comparatif"": 0.0448, ""avis_touristes"": 0.0328}","{""la tonnelle"": 0.1053, ""dar el jeld"": 0.2632, ""el mouradi"": 0.2632, ""le brik"": 0.0526, ""chez ali"": 0.3158, ""dar el-andalous"": 0.1579, ""la perle"": 0.1053, ""le dar el hana"": 0.0526, ""la maison des saveurs"": 0.2105, ""café des épices"": 0.0526, ""le restaurant de la medina"": 0.0526, ""dar djerbi"": 0.0526, ""café des arts"": 0.2105, ""café de la paix"": 0.0526, ""café des nattes"": 0.0526, ""la table de sousse"": 0.0526, ""le bistrot du port"": 0.1579, ""le clos de sousse"": 0.0526, ""café de paris"": 0.1053, ""la marine"": 0.0526, ""dar el khemis"": 0.0526, ""green garden"": 0.0526, ""dar essalam"": 0.0526, ""le café des nuits"": 0.0526, ""la terrasse du port"": 0.0526, ""la fontaine"": 0.0526, ""la table de la marsa"": 0.0526, ""le jardin de la medina"": 0.1053, ""la terrasse"": 0.1579, ""la maison arabe"": 0.0526, ""le ciel"": 0.0526, ""le jardin de sousse"": 0.0526, ""dar jdid"": 0.0526, ""chez mokhtar"": 0.0526, ""dar kalthoum"": 0.0526, ""sousse restaurant"": 0.0526, ""le chantier"": 0.0526, ""café de france"": 0.0526, ""café des négociants"": 0.0526, ""el ksar"": 0.0526}"
"le jardin de la medina","13","0.0332","2.4444","0.9558","0.1538","0.6154","5","0.017","unstable","589.5","1","0.3333","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0299, ""occasion_speciale"": 0.0727, ""comparatif"": 0.0149, ""avis_touristes"": 0.0492}","{""la maison de l'artisan"": 0.1538, ""dar jilani"": 0.0769, ""el bahri"": 0.1538, ""café des sports"": 0.0769, ""café de l'union"": 0.0769, ""café des arts"": 0.2308, ""café de france"": 0.0769, ""le jardin de sousse"": 0.0769, ""dar essaffar"": 0.0769, ""la maison des saveurs"": 0.1538, ""dar el jeld"": 0.1538, ""el mouradi"": 0.0769, ""café de paris"": 0.0769, ""dar djerbi"": 0.0769, ""la tonnelle"": 0.1538, ""chez lamine"": 0.0769, ""le jardin de carthage"": 0.1538, ""la terrasse"": 0.1538, ""dar aziza"": 0.0769, ""le rendez-vous"": 0.0769, ""la rotonde"": 0.0769, ""dar ezzahra"": 0.0769, ""el ksar"": 0.0769, ""le bistrot du port"": 0.0769, ""café des nattes"": 0.0769, ""chez mokhtar"": 0.0769, ""sidi mahrez"": 0.0769, ""la table du marché"": 0.0769}"
"la perle","14","0.0358","3.7857","1.2637","0.0714","0.3571","5","0.0158","unstable","685.9","2","0.6667","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0, ""localisation"": 0.0746, ""occasion_speciale"": 0.0364, ""comparatif"": 0.0448, ""avis_touristes"": 0.0328}","{""chez ali"": 0.0714, ""el mouradi"": 0.0714, ""dar el-andalous"": 0.0714, ""le jardin de carthage"": 0.1429, ""café des arts"": 0.1429, ""dar el khemis"": 0.0714, ""dar el jeld"": 0.2857, ""souk el attarine"": 0.0714, ""le jardin"": 0.2143, ""la terrasse"": 0.0714, ""restaurant le cap"": 0.0714, ""le mirage"": 0.0714, ""café de france"": 0.1429, ""le jardin de marsa"": 0.0714, ""le jardin des sens"": 0.1429, ""la table de la marsa"": 0.0714, ""la kasbah"": 0.0714, ""café des nattes"": 0.0714, ""la table de sousse"": 0.0714, ""le bistrot du port"": 0.0714, ""le bistrot de la mer"": 0.0714, ""la table du marché"": 0.0714, ""la maison de la mer"": 0.0714, ""chez sami"": 0.0714, ""le phare"": 0.0714, ""le jardin de la mer"": 0.1429, ""le corail"": 0.0714, ""la gourmandine"": 0.0714, ""la maison du pain"": 0.0714, ""le ciel"": 0.0714, ""dar kalthoum"": 0.0714, ""le clos de sousse"": 0.0714, ""le jardin de l'atlas"": 0.0714, ""le jardin des oliviers"": 0.0714, ""la maison de la photographie"": 0.0714, ""le soummam"": 0.0714, ""dar essouk"": 0.0714, ""café de paris"": 0.0714}"
"café de paris","12","0.0307","4.3636","1.3667","0.0","0.25","5","0.013","unstable","537.5","2","0.6667","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0423, ""localisation"": 0.0597, ""occasion_speciale"": 0.0364, ""comparatif"": 0.0299, ""avis_touristes"": 0.0164}","{""le jardin"": 0.25, ""dar essaffar"": 0.0833, ""restaurant el mouradi"": 0.0833, ""dar el jeld"": 0.5, ""le trianon"": 0.0833, ""brik el khadra"": 0.0833, ""el farah"": 0.0833, ""le calypso"": 0.0833, ""la villa"": 0.0833, ""la maison blanche"": 0.0833, ""le pirate"": 0.0833, ""le clos de sousse"": 0.0833, ""chez ali"": 0.1667, ""la marine"": 0.0833, ""dar el khemis"": 0.0833, ""green garden"": 0.0833, ""le jardin de carthage"": 0.1667, ""la maison de la medina"": 0.0833, ""dar belhadj"": 0.0833, ""la mammounia"": 0.0833, ""dar djerbi"": 0.0833, ""la tonnelle"": 0.1667, ""chez lamine"": 0.0833, ""le jardin de la medina"": 0.0833, ""la maison"": 0.0833, ""le ciel"": 0.0833, ""la table du marché"": 0.0833, ""le bistrot du port"": 0.0833, ""el mouradi sousse"": 0.0833, ""le jardin des sens"": 0.0833, ""dar essouk"": 0.0833, ""la perle"": 0.0833, ""la medina"": 0.0833, ""le grand vefour"": 0.0833}"
"le rest'o","5","0.0128","3.0","0.0","0.0","1.0","3","0.0128","unstable","81.8","1","0.3333","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0492}","{""dar el jeld"": 1.0, ""le grand vefour"": 0.8, ""el ali"": 0.4, ""la maison arabe"": 0.2, ""la maison blanche"": 0.2, ""dar slah"": 0.2, ""café m'rabet"": 0.4, ""la villa didon"": 0.2, ""le grand café du théâtre"": 0.2}"
"le calypso","14","0.0358","2.5","1.8803","0.5","0.8571","5","0.0124","unstable","99.1","1","0.3333","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0, ""localisation"": 0.0149, ""occasion_speciale"": 0.0364, ""comparatif"": 0.0746, ""avis_touristes"": 0.082}","{""la maison arabe"": 0.3571, ""dar el jeld"": 0.3571, ""el farah"": 0.0714, ""café de paris"": 0.0714, ""la villa"": 0.1429, ""la maison blanche"": 0.0714, ""le pirate"": 0.5, ""le grand bleu"": 0.2143, ""le petit châtelet"": 0.1429, ""la maison de la méditerranée"": 0.0714, ""la maison de la medina"": 0.2143, ""le sindbad"": 0.0714, ""la médina"": 0.0714, ""café des nattes"": 0.0714, ""dar baaziz"": 0.0714, ""le souk"": 0.0714, ""le petit château"": 0.1429, ""dar el jaziri"": 0.0714, ""la medina"": 0.0714}"
"la maison de la mer","13","0.0332","3.4615","1.7372","0.0769","0.6154","4","0.0121","unstable","263.0","3","1.0","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0448, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0299, ""avis_touristes"": 0.082}","{""le rendez-vous"": 0.0769, ""le bistrot de la mer"": 0.1538, ""café de l'europe"": 0.1538, ""restaurant el mouradi"": 0.0769, ""café de la paix"": 0.0769, ""du port"": 0.0769, ""la kasbah"": 0.1538, ""le grand café de la marsa"": 0.0769, ""le bistrot de la marsa"": 0.0769, ""la villa bleue"": 0.1538, ""dar el jeld"": 0.3077, ""la table de la marsa"": 0.0769, ""le café des nattes"": 0.0769, ""le jardin des sens"": 0.0769, ""la table du marché"": 0.0769, ""chez sami"": 0.0769, ""la perle"": 0.0769, ""la villa des orangers"": 0.0769, ""le restaurant de la medina"": 0.0769, ""le jardin de sousse"": 0.0769, ""la maison de la tradition"": 0.0769, ""le pacha"": 0.0769, ""le comptoir"": 0.0769, ""le jardin"": 0.0769, ""le petit châtelet"": 0.0769, ""le ksar"": 0.0769, ""la grotte"": 0.1538, ""le restaurant de la plage"": 0.0769, ""le carthage"": 0.0769, ""la medina"": 0.0769, ""le grand vefour"": 0.1538, ""la terrasse"": 0.0769, ""el ksar"": 0.0769, ""al bahja"": 0.0769, ""el farouk"": 0.0769}"
"le restaurant el ali","9","0.023","3.6667","0.9428","0.0","0.4444","5","0.0118","unstable","61.4","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0704, ""localisation"": 0.0149, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0328}","{""le couscous de la medina"": 0.1111, ""la maison arabe"": 0.2222, ""dar el jeld"": 0.4444, ""le grand vefour"": 0.3333, ""la brikerie"": 0.2222, ""la maison de la harissa"": 0.2222, ""le grand café du théâtre"": 0.2222, ""le café des nattes"": 0.8889, ""la maison du brik"": 0.1111, ""le café de la gare"": 0.1111, ""la maison de la médina"": 0.1111, ""dar belhadj"": 0.1111, ""le grand café de la gare"": 0.1111, ""le restaurant le pirate"": 0.1111, ""la maison de la medina"": 0.1111, ""le grand café de tunis"": 0.1111}"
"le restaurant de la medina","11","0.0281","3.6667","1.4907","0.0909","0.3636","5","0.0113","unstable","108.5","3","1.0","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0149, ""occasion_speciale"": 0.0, ""comparatif"": 0.0896, ""avis_touristes"": 0.0328}","{""le calife"": 0.0909, ""le grand bleu"": 0.0909, ""la maison arabe"": 0.3636, ""dar el jeld"": 0.2727, ""dar djerbi"": 0.0909, ""café des arts"": 0.0909, ""café de la paix"": 0.0909, ""le jardin de carthage"": 0.0909, ""la maison de la mer"": 0.0909, ""la villa des orangers"": 0.0909, ""el menzah"": 0.0909, ""le grand vefour"": 0.1818, ""le grand restaurant"": 0.0909, ""dar el jem"": 0.0909, ""dar el medina"": 0.0909, ""le relais"": 0.0909, ""le café des nattes"": 0.0909, ""la villa bleue"": 0.1818, ""le restaurant de la kasbah"": 0.0909, ""la maison blanche"": 0.0909, ""le restaurant du port"": 0.1818, ""le bistrot"": 0.0909, ""le café des nuits"": 0.0909, ""le grand café"": 0.0909, ""la terrasse"": 0.2727, ""la kasbah"": 0.0909, ""la mamma"": 0.0909, ""le patio"": 0.0909, ""le bistrot du port"": 0.0909, ""le café de la plage"": 0.0909, ""le restaurant de la plage"": 0.0909}"
"le pacha","9","0.023","3.4444","1.0657","0.1111","0.4444","4","0.0111","unstable","190.2","3","1.0","{""top_recommendation"": 0.0571, ""cuisine_authentique"": 0.0282, ""localisation"": 0.0149, ""occasion_speciale"": 0.0, ""comparatif"": 0.0299, ""avis_touristes"": 0.0}","{""la maison arabe"": 0.3333, ""dar el jeld"": 0.6667, ""le grand vefour"": 0.4444, ""le café des nattes"": 0.1111, ""le restaurant de la kasbah"": 0.1111, ""le brik"": 0.1111, ""la kasbah"": 0.4444, ""le dar el hana"": 0.1111, ""dar el annabi"": 0.1111, ""la maison de la tradition"": 0.2222, ""le café de la médina"": 0.1111, ""dar slah"": 0.1111, ""le souk"": 0.1111, ""dar zarrouk"": 0.1111, ""la maison blanche"": 0.1111, ""l'atelier"": 0.1111, ""la maison de la mer"": 0.1111, ""le comptoir"": 0.1111, ""le jardin"": 0.1111}"
"le petit château","11","0.0281","3.9091","1.6763","0.0909","0.4545","5","0.0105","unstable","72.4","2","0.6667","{""top_recommendation"": 0.0429, ""cuisine_authentique"": 0.0, ""localisation"": 0.0448, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0149, ""avis_touristes"": 0.0492}","{""le café de la gare"": 0.0909, ""le bosphore"": 0.0909, ""dar el jem"": 0.0909, ""le corsaire"": 0.0909, ""le restaurant de la médina"": 0.0909, ""le pirate"": 0.3636, ""le grand bleu"": 0.0909, ""la maison arabe"": 0.5455, ""dar el jeld"": 0.2727, ""restaurant de la médina"": 0.0909, ""el fell"": 0.0909, ""dar el fell"": 0.1818, ""le bistrot de la marsa"": 0.0909, ""la villa bleue"": 0.1818, ""le café de la plage"": 0.0909, ""la table de la méditerranée"": 0.0909, ""le golfe"": 0.1818, ""la mer"": 0.0909, ""café des nattes"": 0.0909, ""dar zarrouk"": 0.0909, ""dar el medina"": 0.0909, ""la maison de la médina"": 0.0909, ""la terrasse"": 0.0909, ""le sultan"": 0.0909, ""le restaurant de la plage"": 0.0909, ""le café des nattes"": 0.0909, ""le calypso"": 0.1818, ""la maison de la medina"": 0.0909, ""dar el jaziri"": 0.0909}"
"la maison des saveurs","12","0.0307","3.5833","1.9773","0.1667","0.5","4","0.0103","unstable","686.2","1","0.3333","{""top_recommendation"": 0.0429, ""cuisine_authentique"": 0.0, ""localisation"": 0.0448, ""occasion_speciale"": 0.0364, ""comparatif"": 0.0149, ""avis_touristes"": 0.0492}","{""dar aziza"": 0.0833, ""le carthage"": 0.0833, ""le bosphore"": 0.0833, ""dar zaytouna"": 0.0833, ""el mouradi"": 0.3333, ""chez ali"": 0.3333, ""le dar el hana"": 0.0833, ""le jardin de carthage"": 0.3333, ""dar essalam"": 0.0833, ""café des arts"": 0.25, ""le café des nuits"": 0.0833, ""dar el jeld"": 0.25, ""la terrasse du port"": 0.0833, ""le jardin de la medina"": 0.1667, ""le jardin de sidi bou said"": 0.0833, ""la fontaine"": 0.0833, ""la table de la marsa"": 0.0833, ""le rendez-vous"": 0.0833, ""la rotonde"": 0.0833, ""la terrasse"": 0.0833, ""le café de france"": 0.0833, ""le chantier"": 0.0833, ""café de france"": 0.0833, ""café des négociants"": 0.0833, ""dar el-andalous"": 0.0833, ""café des nattes"": 0.0833, ""le jardin des oliviers"": 0.0833, ""café de la poste"": 0.0833, ""dar jilani"": 0.0833, ""le jardin des sens"": 0.0833, ""le bistrot du port"": 0.0833}"
"le grand café de tunis","4","0.0102","1.0","0.0","1.0","1.0","3","0.0102","unstable","51.2","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0, ""occasion_speciale"": 0.0364, ""comparatif"": 0.0, ""avis_touristes"": 0.0164}","{""le café des nattes"": 0.5, ""la maison de la harissa"": 0.25, ""dar el jeld"": 0.25, ""le pirate"": 0.25, ""la villa didon"": 0.5, ""la mammounia"": 0.25, ""al fassia"": 0.25, ""le bistro du coin"": 0.25, ""la maison de la medina"": 0.25, ""le restaurant el ali"": 0.25}"
"le grand café du théâtre","4","0.0102","1.0","0.0","1.0","1.0","2","0.0102","unstable","48.2","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0282, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0164}","{""la brikerie"": 0.25, ""la maison de la harissa"": 0.5, ""le restaurant el ali"": 0.5, ""le café des nattes"": 0.5, ""le café de la gare"": 0.25, ""la mamma"": 0.25, ""dar el jeld"": 0.5, ""restaurant le baron"": 0.25, ""le pirate"": 0.25, ""le rest'o"": 0.25, ""la villa didon"": 0.25, ""café m'rabet"": 0.25}"
"le restaurant de la plage","11","0.0281","4.8182","1.7999","0.0","0.2727","4","0.01","unstable","71.5","2","0.6667","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0, ""localisation"": 0.0299, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0299, ""avis_touristes"": 0.082}","{""le bistrot"": 0.0909, ""la casa"": 0.0909, ""le grand café"": 0.0909, ""el khayam"": 0.0909, ""la maison de la méditerranée"": 0.0909, ""le grand café de la marsa"": 0.0909, ""le bistrot de la marsa"": 0.0909, ""la villa bleue"": 0.0909, ""le bistro du coin"": 0.0909, ""le café des nattes"": 0.3636, ""le relais"": 0.1818, ""la terrasse"": 0.0909, ""le restaurant de la médina"": 0.0909, ""le grand vefour"": 0.0909, ""le restaurant le pirate"": 0.0909, ""le bistrot de la médina"": 0.0909, ""la medina"": 0.0909, ""la kasbah"": 0.1818, ""dar el jeld"": 0.0909, ""le petit châtelet"": 0.0909, ""le grand cafe"": 0.0909, ""la maison de la medina"": 0.0909, ""le pirate"": 0.0909, ""le ksar"": 0.0909, ""la maison de la mer"": 0.0909, ""la grotte"": 0.0909, ""la maison arabe"": 0.0909, ""le petit château"": 0.0909, ""le restaurant de la medina"": 0.0909}"
"café des arts","17","0.0435","4.9412","3.438","0.1176","0.4118","5","0.0098","unstable","536.6","2","0.6667","{""top_recommendation"": 0.0429, ""cuisine_authentique"": 0.0282, ""localisation"": 0.1194, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0149, ""avis_touristes"": 0.0328}","{""café des sports"": 0.0588, ""café de l'union"": 0.0588, ""el bahri"": 0.0588, ""café de france"": 0.0588, ""le jardin de la medina"": 0.1765, ""le jardin de sousse"": 0.0588, ""dar el khemis"": 0.1176, ""dar el jeld"": 0.3529, ""souk el attarine"": 0.1176, ""le jardin"": 0.1765, ""la terrasse"": 0.0588, ""la perle"": 0.1176, ""la table de sousse"": 0.1176, ""le dinar"": 0.0588, ""la gourmandine"": 0.0588, ""le restaurant de la medina"": 0.0588, ""dar djerbi"": 0.0588, ""café de la paix"": 0.0588, ""le jardin de carthage"": 0.2353, ""café des nattes"": 0.2353, ""le bistrot du port"": 0.0588, ""dar essalam"": 0.0588, ""le café des nuits"": 0.0588, ""la maison des saveurs"": 0.1765, ""la terrasse du port"": 0.0588, ""la kasbah"": 0.1176, ""el mouradi"": 0.1176, ""le grand vefour"": 0.0588, ""la table du marché"": 0.0588, ""le souk des épices"": 0.0588, ""le jardin de sidi bou said"": 0.1176, ""chez mokhtar"": 0.0588, ""la maison de la medina"": 0.0588, ""chez ali"": 0.0588, ""la maison arabe"": 0.0588, ""le bistrot de la mer"": 0.0588}"
"le jardin de sousse","12","0.0307","2.5455","2.2305","0.3333","0.75","5","0.0095","unstable","749.2","1","0.3333","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0423, ""localisation"": 0.0149, ""occasion_speciale"": 0.0364, ""comparatif"": 0.0597, ""avis_touristes"": 0.0}","{""café des nattes"": 0.0833, ""café des sports"": 0.0833, ""café de l'union"": 0.0833, ""café des arts"": 0.0833, ""el bahri"": 0.0833, ""café de france"": 0.0833, ""le jardin de la medina"": 0.0833, ""restaurant el mouradi"": 0.0833, ""dar el jeld"": 0.1667, ""el mouradi"": 0.0833, ""la terrasse"": 0.0833, ""café de l'europe"": 0.1667, ""la maison de la mer"": 0.0833, ""dar el-andalous"": 0.0833, ""le jardin de carthage"": 0.0833, ""le zitouna"": 0.0833, ""la rotonde"": 0.0833, ""chez sami"": 0.0833, ""al bahja"": 0.0833}"
